2 920 241 455;VIITESIIRTO;42.33
3 420 241 433;VIITESIIRTO;15.00
152 024 277;VIITESIIRTO;28.20
6 202 421 892;VIITESIIRTO;49.23
3 720 242 983;VIITESIIRTO;65.04
30 202 411 305;VIITESIIRTO;31.82
31 202 411 356;VIITESIIRTO;20.21
4 202 421 674;VIITESIIRTO;124.25
22 202 421 656;VIITESIIRTO;61.68
17 202 421 661;VIITESIIRTO;24.00
1 820 242 610;VIITESIIRTO;48.05
3 920 241 357;VIITESIIRTO;17.94
1 202 421 101;VIITESIIRTO;54.02
5 202 422 012;VIITESIIRTO;20.47
3 202 421 921;VIITESIIRTO;19.96
3 520 242 316;VIITESIIRTO;16.51
3 220 241 345;VIITESIIRTO;19.30
820 242 556;VIITESIIRTO;49.23
332 041 339;VIITESIIRTO;17.35
19 202 421 009;TILISIIRTO;117.77
23 202 421 642;VIITESIIRTO;59.91
25 202 411 456;VIITESIIRTO;53.94
2 120 242 982;VIITESIIRTO;108.27
25 120 240;VIITESIIRTO;175.00
13 202 422 020;VIITESIIRTO;96.07
1 020 242 782;VIITESIIRTO;18.45
24 120 241;VIITESIIRTO;35.00
24 202 411 444;VIITESIIRTO;27.95
920 242 773;VIITESIIRTO;49.23
